order_id,tips,order_fee,order_status,store_id,batch_id,uid
401,5.00,7.99,Issued,101,301,1
402,2.50,4.99,Delivered,101,301,2
403,0.00,9.99,Shopping,102,302,2
404,3.75,6.99,Delivered,103,303,1
405,0.00,5.99,Cancelled,104,304,3
406,4.00,8.99,Delivered,102,302,4
407,1.50,6.49,Issued,101,301,2
408,2.00,7.49,Issued,102,302,1
409,3.25,5.99,Issued,103,303,3
410,0.00,4.49,Cancelled,104,304,4
411,4.50,8.49,Delivered,101,305,1
412,1.75,6.99,Issued,102,305,3
413,0.00,5.49,Shopping,103,306,2
414,2.25,7.99,Delivered,104,306,4
415,0.00,7.99,Issued,103,307,1
